index,file_name,model_valence,model_arousal,top_profiles
84,tatu — t.A.T.u. - All The Things She Said (Official Music Video).mp4,5.6358,6.5252,"energetic:0.768(affect=0.798,tag=0.647);party:0.715(affect=0.758,tag=0.542);romantic:0.696(affect=0.769,tag=0.401)"
85,The Gamer Guy — Bye Bye Bye - NSYNC _ The Gamer Guy.mp4,6.2318,6.4606,"energetic:0.803(affect=0.808,tag=0.781);happy:0.774(affect=0.791,tag=0.706);party:0.762(affect=0.793,tag=0.640)"
86,TheCranberriesTV — The Cranberries - Zombie (Official Music Video).mp4,5.5477,6.2878,"energetic:0.759(affect=0.775,tag=0.694);romantic:0.737(affect=0.779,tag=0.570);party:0.664(affect=0.739,tag=0.367)"
87,Title Fight — Title Fight - _Head In The Ceiling Fan_.mp4,4.3889,4.3606,"focus:0.731(affect=0.914,tag=0.000);melancholic:0.705(affect=0.688,tag=0.775);dark:0.681(affect=0.649,tag=0.807)"
88,"Trippie Redd — Trippie Redd, Travis Scott - Dark Knight Dummo ft. Travis Scott.m4a",5.1185,6.1733,"energetic:0.750(affect=0.749,tag=0.756);dark:0.726(affect=0.739,tag=0.673);romantic:0.709(affect=0.755,tag=0.526)"
89,Unknown Artist — 94707532_456240649_8b8d06c4-7af.mp3,5.3874,5.8861,"dark:0.718(affect=0.705,tag=0.772);romantic:0.715(affect=0.789,tag=0.419);energetic:0.713(affect=0.737,tag=0.614)"
90,vigius — code10-Summerlove.m4a,5.0605,4.3039,"romantic:0.785(affect=0.792,tag=0.757);focus:0.750(affect=0.938,tag=0.000);melancholic:0.639(affect=0.642,tag=0.626)"
91,Wicked Movie — Wicked _ Popular.mp4,4.8212,5.2024,"focus:0.686(affect=0.857,tag=0.000);romantic:0.660(affect=0.766,tag=0.235);energetic:0.633(affect=0.661,tag=0.522)"
92,Xamdam Sobirov — Xamdam Sobirov - Peshta _ Хамдам Собиров - Пешта _ Video Klip.mp4,5.5120,4.9750,"romantic:0.797(affect=0.830,tag=0.665);focus:0.696(affect=0.870,tag=0.000);energetic:0.678(affect=0.665,tag=0.729)"
93,Xertix — F_ck love XXXTENTACIONXXX (Ft. Trippie Redd).m4a,4.9118,4.6153,"focus:0.728(affect=0.910,tag=0.000);romantic:0.674(affect=0.780,tag=0.247);melancholic:0.644(affect=0.638,tag=0.670)"
94,XXXTENTACION — XXXTENTACION - SAD!.m4a,3.5100,3.5180,"melancholic:0.776(affect=0.795,tag=0.700);focus:0.728(affect=0.868,tag=0.165);calm:0.686(affect=0.820,tag=0.152)"
95,Yeat — Gët Busy [Official Music Video].m4a,4.8058,5.1858,"dark:0.711(affect=0.695,tag=0.775);focus:0.687(affect=0.859,tag=0.000);romantic:0.652(affect=0.765,tag=0.200)"
96,Yeat — Monëy so big.m4a,5.3818,6.0982,"romantic:0.747(affect=0.778,tag=0.625);energetic:0.725(affect=0.754,tag=0.610);party:0.686(affect=0.717,tag=0.562)"
